,_index,_type,_id,_score,sort,redVarietal,isVQA,subCategory,consumerRating,featured,_isLimitedTimeOffer,regularPrice,isCraft,isDraft,promotionStartDate,whiteVarietal,tastingDescription,_promotionStartDate,_all_featured,promotionEndDate,isBCSpirit,sku,isLimitedTimeOffer,_featured,image,availableUnits,last_updated,subRegion,unitSize,upc,_blacklist,isDealcoholizedWine,volume,certificates,name,style,countryName,isBCCraft,region,statusCode,status,color,grapeType,isOrganic,storeCount,nameSuffix,alcoholPercentage,productCategory,isExclusive,all_featured,restrictionCode,productSubCategory,namePrefix,countryCode,isOntarioVQA,class,productType,isKosher,_whitelist,inventoryCode,currentPrice,sweetness,isNew,all_promotions,promotions,nameSanitized,isBCVQA,_promotionEndDate,votes,category,is_special_release,availability_override,category_id,subCategory_id,class_id,totalVolume,totalPrice,totalAlcoholContent,alcoholCost,storePercent
10,bcls,product,106802,0.3645388,99 XXPRESSO - COFFEE LIQUEUR,,,Liqueurs,3.9,[],,1.99,,,,,"99 XXpresso is the perfect coffee concoction with just the right balance of sweetness.
",,[],,,106802,,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/106802.jpeg,15187,2023-05-08 09:10:01,,1,['00089000992010'],False,,0.05,[],99 XXPRESSO - COFFEE LIQUEUR,,USA,False,,2,2,,,False,143.0, COFFEE LIQUEUR,0.495,,False,[],SR,,99 XXPRESSO ,US,,Coffee And Cocoa Liqueurs,Liqueurs,False,False,0,1.99,,False,,,99 xxpresso - coffee liqueur,,,37,Spirits,,,1004,1019,1209,759.35,30222.13,0.02475,80.4040404040404,0.7222222222222222
11,bcls,product,20146,0.3555091,AALBORG TAFFEL AQUAVIT,,,Other Spirits,3.9,[],,41.99,,,,,"Double Gold, San Francisco World Spirits Competition 2021. The Danes have given it the nickname 'Red Aalborg,' but it got its real name as early as 1846, when it was launched by Isidor Henius - the man who brought Danish schnapps production up to the quality level we know today. Aalborg Taffel Akvavit is the archetype of a clear, Danish akvavit. It has a clear taste of caraway seeds, but if you close your eyes, you can sense a discreet aftertaste of orange. It goes perfectly with a piece of marinated herring served with an onion ring, cured sausage or roast pork.
",,[],,,20146,,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/20146.jpeg,737,2023-05-08 09:10:01,,1,['00817469010293'],False,,0.75,[],AALBORG TAFFEL AQUAVIT,,Denmark,False,,2,2,,,False,98.0,AALBORG TAFFEL AQUAVIT,0.45,,False,[],SR,,,DK,,Flavoured Spirits,Other Spirits,False,False,0,41.99,,False,,,aalborg taffel aquavit,,,97,Spirits,,,1004,1020,1238,552.75,30946.63,0.3375,124.41481481481482,0.494949494949495
12,bcls,product,773002,0.3555091,ABERFELDY - 12 YEAR OLD,,,Whisky,3.9,[],,69.99,,,,,"Double Gold, San Francisco World Spirits Competition 2022. A honeyed dram with notes of fruit, spices, lots of vanilla and just a hint of smoke.
",,[],,,773002,,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/773002.jpeg,1294,2023-05-08 09:10:01,Highland,1,['05000277003457'],False,,0.75,[],ABERFELDY - 12 YEAR OLD,,United Kingdom,False,Scotland,2,2,,,False,176.0, 12 YEAR OLD,0.4,,False,[],SR,,ABERFELDY ,GB,,Single Malt Scotch Whisky,Whisky / Whiskey,False,False,0,69.99,,False,,,aberfeldy - 12 year old,,,575,Spirits,,,1004,1024,1289,970.5,90567.06,0.30000000000000004,233.29999999999995,0.8888888888888888
13,bcls,product,661884,0.3555091,ABERFELDY - 21 YEAR OLD,,,Whisky,4.0,[],,320.0,,,,,"98 Points, International Wine & Spirit Competition 2022: ""Creamy and indulgent with hints of vanilla tart, sweet dried fruit and fresh pastry on the nose. Smoky and intriguing on the palate, revealing complex layers of raisin, date and dried fig. An attractive style, and extremely enjoyable.""
",,[],,,661884,,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/661884.jpeg,114,2023-05-08 09:10:01,Highland,1,['05000277003587'],False,,0.75,[],ABERFELDY - 21 YEAR OLD,,United Kingdom,False,Scotland,2,2,,,False,17.0, 21 YEAR OLD,0.4,,False,[],SH,,ABERFELDY ,GB,,Single Malt Scotch Whisky,Whisky / Whiskey,False,False,0,320.0,,False,,,aberfeldy - 21 year old,,,202,Spirits,,,1004,1024,1289,85.5,36480.0,0.30000000000000004,1066.6666666666665,0.08585858585858586
14,bcls,product,922658,0.3555091,ABERLOUR - 12 YEAR OLD DOUBLE CASK MATURED,,,Whisky,3.9,[],True,85.99,,,2023-04-30T00:00:00.000-07:00,,"97 Points, Wine Enthusiast - ""Aged in oak and former Sherry casks, this enticing Scotch has a ripe red-apple scent and rich salted caramel and butterscotch on the palate. It's powerful, with a thick, buttery feel and a long finish of lip-smacking spice cake and sea brine notes."" (December 2015)
",2023-04-30T00:00:00.000-07:00,['On Sale'],2023-06-03T00:00:00.000-07:00,,922658,True,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/922658.jpeg,1792,2023-05-08 09:10:01,Speyside,1,"['05000299298145', '05000299298459', '03047100017849', '00080432102145', '00080432102138']",False,,0.75,[],ABERLOUR - 12 YEAR OLD DOUBLE CASK MATURED,,United Kingdom,False,Scotland,2,2,,,False,195.0, 12 YEAR OLD DOUBLE CASK MATURED,0.4,,False,['On Sale'],G,,ABERLOUR ,GB,,Single Malt Scotch Whisky,Whisky / Whiskey,False,False,0,81.99,,False,,,aberlour - 12 year old double cask matured,,2023-06-03T00:00:00.000-07:00,441,Spirits,,,1004,1024,1289,1344.0,154094.08,0.30000000000000004,286.63333333333327,0.9848484848484849
15,bcls,product,521680,0.3555091,ABERLOUR - A'BUNADH ALBA,,,Whisky,4.2,[],,157.99,,,,,"Available starting November 5. 
""Coconut cream, vanilla pod and tropical fruits make for a soft, fruity and generous style with some bright citrus notes.""
94 Points, International Wine & Spirit Competition 2022.
",,[],,,521680,,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/521680.jpeg,38,2023-05-08 09:10:01,Speyside,1,['00080432114612'],False,,0.75,[],ABERLOUR - A'BUNADH ALBA,,United Kingdom,False,Scotland,2,2,,,False,9.0, A'BUNADH ALBA,0.609,,False,[],SM,,ABERLOUR ,GB,,Single Malt Scotch Whisky,Whisky / Whiskey,False,False,0,157.99,,False,,,aberlour - abunadh alba,,,28,Spirits,,,1004,1024,1289,28.5,6003.620000000001,0.45675,345.90038314176246,0.045454545454545456
16,bcls,product,573352,0.3555091,ABERLOUR - A'BUNADH CASK STRENGTH,,,Whisky,4.2,[],,158.99,,,,,"99 Points, International Wine & Spirit Competition 2021: ""Moreish and rich, with a fantastic muscularity of structure throughout. Bold on the palate, bursting with notes of sweet dates that are beautifully combined with molasses, silky nuts, warming ginger and mead.""
",,[],,,573352,,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/573352.jpeg,973,2023-05-08 09:10:01,Speyside,1,['00080432516171'],False,,0.75,[],ABERLOUR - A'BUNADH CASK STRENGTH,,United Kingdom,False,Scotland,2,2,,,False,114.0, A'BUNADH CASK STRENGTH,0.6,,False,[],SR,,ABERLOUR ,GB,,Single Malt Scotch Whisky,Whisky / Whiskey,False,False,0,158.99,,False,,,aberlour - abunadh cask strength,,,401,Spirits,,,1004,1024,1289,729.75,154697.27000000002,0.44999999999999996,353.3111111111112,0.5757575757575758
17,bcls,product,443906,0.3555091,ABK6 - XO RENAISSANCE COGNAC,,,Grape and Fruit Brandy,3.7,[],,265.99,,,,,"98 Points, International Wine & Spirit Competition 2021: ""A simply outstanding cognac. Tropical fruits layered with sweet Indian spices of cardamom, cloves and nutmeg. Ripe apricots, pineapple and mango come through on the palate. There's an oaky, aged black tea element to the finish. Incredibly juicy and delicious.""
",,['BCL Select'],,,443906,,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/443906.jpeg,41,2023-05-08 09:10:01,,1,"['03459280566831', '00879228056119']",False,,0.7,[],ABK6 - XO RENAISSANCE COGNAC,,France,False,,2,2,,,False,10.0, XO RENAISSANCE COGNAC,0.4,,True,['BCL Select'],C,,ABK6 ,FR,,Cognac,Cognac,False,False,0,265.99,,False,,,abk6 - xo renaissance cognac,,,7,Spirits,,,1004,1018,1172,28.7,10905.59,0.27999999999999997,949.9642857142859,0.050505050505050504
18,bcls,product,611152,0.3555091,ABSINTHE - GREEN TREE,,,Liqueurs,3.6,[],,51.99,,,,,"Green Tree Absinthe is distilled from 100% wormwood and botanicals that produce aromas and flavours of wormwood, cardamom and coriander plus hints of anise and herbs. It is sweet and rich with a spicy finish.
",,[],,,611152,,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/611152.jpeg,680,2023-05-08 09:10:01,,1,['08594001441723'],False,,0.5,[],ABSINTHE - GREEN TREE,,Czech Republic,False,,2,2,,,False,103.0, GREEN TREE,0.7,,False,[],SR,,ABSINTHE ,CZ,,Anise And Herbal/Spice Liqueurs,Liqueurs,False,False,0,51.99,,False,,,absinthe - green tree,,,699,Spirits,,,1004,1019,1208,340.0,35353.200000000004,0.35,148.54285714285714,0.5202020202020202
19,bcls,product,236323,0.3555091,ABSOLUT,,,Vodka,3.2,[],True,41.49,,,2023-04-30T00:00:00.000-07:00,,"Absolut Vodka is a Swedish vodka made exclusively from natural ingredients, and unlike some other vodkas, it does not contain any added sugar. In fact, Absolut is as clean as vodka can be. Still, it has a certain taste: rich, full-bodied and complex, yet smooth and mellow with a distinct character of grain, followed by a hint of dried fruit.
",2023-04-30T00:00:00.000-07:00,['On Sale'],2023-06-03T00:00:00.000-07:00,,236323,True,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/236323.jpeg,8812,2023-05-08 09:10:01,,1,"['00087000001114', '00835229000506']",False,,1.14,[],ABSOLUT,,Sweden,False,,2,2,,,False,195.0,ABSOLUT,0.4,,False,['On Sale'],G,,,SE,,Straight Vodka,Vodka,False,False,0,39.49,,False,,,absolut,,2023-06-03T00:00:00.000-07:00,173,Spirits,,,1004,1023,1281,10045.679999999998,365609.88,0.45599999999999996,90.98684210526316,0.9848484848484849
