,_index,_type,_id,_score,sort,redVarietal,isVQA,subCategory,consumerRating,featured,_isLimitedTimeOffer,regularPrice,isCraft,isDraft,promotionStartDate,whiteVarietal,tastingDescription,_promotionStartDate,_all_featured,promotionEndDate,isBCSpirit,sku,isLimitedTimeOffer,_featured,image,availableUnits,last_updated,subRegion,unitSize,upc,_blacklist,isDealcoholizedWine,volume,certificates,name,style,countryName,isBCCraft,region,statusCode,status,color,grapeType,isOrganic,storeCount,nameSuffix,alcoholPercentage,productCategory,isExclusive,all_featured,restrictionCode,productSubCategory,namePrefix,countryCode,isOntarioVQA,class,productType,isKosher,_whitelist,inventoryCode,currentPrice,sweetness,isNew,all_promotions,promotions,nameSanitized,isBCVQA,_promotionEndDate,votes,category,ribbons,category_id,subCategory_id,class_id,totalVolume,totalPrice,totalAlcoholContent,alcoholCost,storePercent
10,bcls,product,133044,0.6023824,ALENTEJANO - BOJADOR SPECIAL EDITION VINHO TINTO,Other Blend,,Portugal Wine,4.5,[],,31.99,,,,,"Decanter, 93 points: ""Moreto has the starring role in this blend, setting the tone, with a flavoursome, mellow palate. Savoury oak and cured leather notes lead on the nose and palate. Rich gusty dried fig and spicy, bay-leaf-accented currant fruit throughout. Ripe mouth-coating tannins lend depth, whilst persistent mineral acidity brings length of flavour.""
",,[],,,133044,,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/133044.jpeg,248,2023-10-08 07:10:01,,1,['05600757841588'],False,,0.75,[],ALENTEJANO - BOJADOR SPECIAL EDITION VINHO TINTO,,Portugal,False,Other Portugal South,2,2,RED,OTHER BLEND,False,22.0, BOJADOR SPECIAL EDITION VINHO TINTO,0.145,,False,[],ST,,ALENTEJANO ,PT,,Portugal Red Wine,Red Wine,False,False,0,31.99,00,False,,,alentejano - bojador special edition vinho tinto,,,29,Wine,[],1005,1048,1248,186.0,7933.5199999999995,0.10874999999999999,294.1609195402299,0.11827956989247312
11,bcls,product,492176,0.6023824,ALENTEJANO - CASA RELVAS BARRICADO,Other Blend,,Portugal Wine,4.1,[],True,13.99,,,2023-10-01T00:00:00.000-07:00,,"Deep ruby with violent hints this wine is ripe with black fruit and spice notes. Well-balanced with a round, rich palate, and smooth tannins. Palate showcases notes of dark fruits and spice.
",2023-10-01T00:00:00.000-07:00,"['BCL Select', 'On Sale']",2023-10-28T00:00:00.000-07:00,,492176,True,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/492176.jpeg,1184,2023-10-08 07:10:01,,1,['05600391235781'],False,,0.75,[],ALENTEJANO - CASA RELVAS BARRICADO,,Portugal,False,Other Portugal South,2,2,RED,OTHER BLEND,False,99.0, CASA RELVAS BARRICADO,0.135,,True,"['BCL Select', 'On Sale']",C,,ALENTEJANO ,PT,,Portugal Red Wine,Red Wine,False,False,0,11.99,00,False,,,alentejano - casa relvas barricado,,2023-10-28T00:00:00.000-07:00,7,Wine,"[{'id': 'empty-placeholder', 'label': '&nbsp;', 'labelLengthWithoutTags': 1}, {'id': 'exclusive', 'label': '<b>BC</b>L<em>SELECT</em>', 'labelLengthWithoutTags': 9}]",1005,1048,1248,888.0,16564.16,0.10125,138.17283950617283,0.532258064516129
12,bcls,product,62235,0.6023824,ALENTEJANO - CASA SANTOS LIMA QUID PRO QUO,Other Blend,,Portugal Wine,4.0,[],,15.99,,,,,"90 Points Wine Enthusiast: """"A rich, solid blend of Touriga Nacional, Tinto Roriz, Syrah and Alicante Bouschet, the wine has a fine balance between cool tannins and bold black fruits. It is a wine that will age further with its juicy acidity and tannins. Drink from 2021."" (November 2020)
",,['BCL Select'],,,62235,,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/62235.jpeg,2249,2023-10-08 07:10:01,,1,['05604424433014'],False,,0.75,[],ALENTEJANO - CASA SANTOS LIMA QUID PRO QUO,,Portugal,False,Other Portugal South,2,2,RED,OTHER BLEND,False,107.0, CASA SANTOS LIMA QUID PRO QUO,0.14,,True,['BCL Select'],C,,ALENTEJANO ,PT,,Portugal Red Wine,Red Wine,False,False,0,15.99,00,False,,,alentejano - casa santos lima quid pro quo,,,115,Wine,"[{'id': 'empty-placeholder', 'label': '&nbsp;', 'labelLengthWithoutTags': 1}, {'id': 'exclusive', 'label': '<b>BC</b>L<em>SELECT</em>', 'labelLengthWithoutTags': 9}]",1005,1048,1248,1686.75,35961.51,0.10500000000000001,152.28571428571428,0.5752688172043011
13,bcls,product,427693,0.5951133,ALENTEJANO - HERDADE DE ROCIM FRESH FROM AMPHORA,Touriga Nacional,,Portugal Wine,4.6,[],,29.99,,,,,False,,[],,,427693,,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/427693.jpeg,192,2023-10-08 07:10:01,,1,['05600314049785'],False,,1.0,[],ALENTEJANO - HERDADE DE ROCIM FRESH FROM AMPHORA,,Portugal,False,Other Portugal South,2,2,RED,TOURIGA NACIONAL,False,14.0, HERDADE DE ROCIM FRESH FROM AMPHORA,0.12,,False,[],ST,,ALENTEJANO ,PT,,Portugal Red Wine,Red Wine,False,False,0,29.99,00,False,,,alentejano - herdade de rocim fresh from amphora,,,8,Wine,[],1005,1048,1248,192.0,5758.08,0.12,249.91666666666666,0.07526881720430108
14,bcls,product,167370,0.5951133,ALENTEJANO - SEGREDOS DE SAO MIGUEL,Other Blend,,Portugal Wine,4.1,[],,14.99,,,,,"This little Portuguese gem is a solid choice for sipping or pairing, and is sure to please with its silky smoothness and good fruit concentration. 
",,['BCL Select'],,,167370,,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/167370.jpeg,1873,2023-10-08 07:10:01,,1,"['05600391237105', '05600391232179']",False,,0.75,[],ALENTEJANO - SEGREDOS DE SAO MIGUEL,,Portugal,False,Other Portugal South,2,2,RED,OTHER BLEND,False,126.0, SEGREDOS DE SAO MIGUEL,0.135,,True,['BCL Select'],C,,ALENTEJANO ,PT,,Portugal Red Wine,Red Wine,False,False,0,14.99,00,False,,,alentejano - segredos de sao miguel,,,108,Wine,"[{'id': 'empty-placeholder', 'label': '&nbsp;', 'labelLengthWithoutTags': 1}, {'id': 'exclusive', 'label': '<b>BC</b>L<em>SELECT</em>', 'labelLengthWithoutTags': 9}]",1005,1048,1248,1404.75,28076.27,0.10125,148.04938271604937,0.6774193548387096
15,bcls,product,114419,0.6023824,ALENTEJO TINTO - HERDADE DO PESO SOSSEGO,Tempranillo,,Portugal Wine,4.0,[],,14.99,,,,,"A vibrant ruby colour wine with intense notes of red fruit and delicate hints of wood. On the palate, it is smooth and elegant, with prominent tannins. Balanced acidity reveals a long and fresh finish.",,['BCL Select'],,,114419,,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/114419.jpeg,2151,2023-10-08 07:10:01,,1,['05601012004786'],False,,0.75,[],ALENTEJO TINTO - HERDADE DO PESO SOSSEGO,,Portugal,False,Other Portugal North,2,2,RED,TEMPRANILLO,False,140.0, HERDADE DO PESO SOSSEGO,0.14,,True,['BCL Select'],C,,ALENTEJO TINTO ,PT,,Portugal Red Wine,Red Wine,False,False,0,14.99,00,False,,,alentejo tinto - herdade do peso sossego,,,24,Wine,"[{'id': 'empty-placeholder', 'label': '&nbsp;', 'labelLengthWithoutTags': 1}, {'id': 'exclusive', 'label': '<b>BC</b>L<em>SELECT</em>', 'labelLengthWithoutTags': 9}]",1005,1048,1248,1613.25,32243.49,0.10500000000000001,142.76190476190476,0.7526881720430108
16,bcls,product,172973,0.6023824,ALICANTE MONASTRELL ROSE - VERMADOR ORGANIC VEGAN,,,Spain Wine,4.2,[],,15.49,,,,,"Brilliant pink colour with hues of smoked salmon. Fruity aromas of strawberry and plum. Full, fresh and fruity on the palate with aromatic persistence and good structure and balance. A very food-friendly, Mediterranean-style rosé wine. Certified organic and vegan. 
",,[],,,172973,,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/172973.jpeg,3,2023-10-08 07:10:01,,1,['08437003095276'],False,,0.75,['Organic'],ALICANTE MONASTRELL ROSE - VERMADOR ORGANIC VEGAN,,Spain,False,Alicante,3,3,ROSE,NOT APPLICABLE,True,1.0, VERMADOR ORGANIC VEGAN,0.135,,False,[],SH,,ALICANTE MONASTRELL ROSE ,ES,,Spain Rose Wine,Rose Wine,False,False,1,15.49,00,False,,,alicante monastrell rose - vermador organic vegan,,,52,Wine,[],1005,1051,1267,2.25,46.47,0.10125,152.98765432098764,0.005376344086021506
17,bcls,product,466011,0.5951133,ALLEGRINI - PALAZZO DELLE TORRE IGT 2019,Other Blend,,Italy Wine,4.2,[],,29.99,,,,,"92 Points, Wine Enthusiast: ""Dark and intense in color, the wine has intense aromas of spiced black plums, blackberry pie and black cherries. Though the fruit is very intense, it is wrapped up by herbal and cocoa notes. The palate is lush and velvety...""
",,[],,,466011,,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/466011.jpeg,881,2023-10-08 07:10:01,Other,1,"['08015822000178', '00098709071155']",False,,0.75,[],ALLEGRINI - PALAZZO DELLE TORRE IGT 2019,,Italy,False,Veneto,2,2,RED,OTHER BLEND,False,61.0, PALAZZO DELLE TORRE IGT 2019,0.125,,False,[],SR,,ALLEGRINI ,IT,,Italy Red Wine,Red Wine,False,False,0,29.99,00,False,,,allegrini - palazzo delle torre igt 2019,,,123,Wine,[],1005,1043,1203,660.75,26421.19,0.09375,319.8933333333333,0.3279569892473118
18,bcls,product,189902,0.6023824,ALMANSA - LAYA,Other Blend,,Spain Wine,3.7,[],,18.99,,,,,"90 Points, James Suckling: ""Blackberries, brambleberries, coconut, potpourri and dried herbs on the nose. Medium-to full-bodied with fine, dry tannins and wild, herbal character. 70% garnacha tintorera and 30% monastrell. Vegan. Drink now."" (October 2021)
",,[],,,189902,,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/189902.jpeg,1462,2023-10-08 07:10:01,,1,['08437005068889'],False,,0.75,[],ALMANSA - LAYA,,Spain,False,Other Spain Central,2,2,RED,OTHER BLEND,False,105.0, LAYA,0.14,,False,[],SR,,ALMANSA ,ES,,Spain Red Wine,Red Wine,False,False,0,18.99,00,False,,,almansa - laya,,,478,Wine,[],1005,1051,1266,1096.5,27763.379999999997,0.10500000000000001,180.85714285714283,0.5645161290322581
19,bcls,product,270363,0.5951133,ALMANSA RESERVA - PIQUERAS CASTILLO DE ALMANSA,Other Grape Variety,,Spain Wine,2.9,[],,15.99,,,,,"Full, concentrated and rich, with wild berry fruit on the palate and finely balanced vanilla undertones, plus well-integrated tannins, great depth with a persistent finish. Enjoy it with grilled pork or smokies.
",,[],,,270363,,[],http://www.bcliquorstores.com/sites/default/files/imagecache/height400px/270363.jpeg,1940,2023-10-08 07:10:01,,1,['08414837010118'],False,,0.75,[],ALMANSA RESERVA - PIQUERAS CASTILLO DE ALMANSA,,Spain,False,Other Spain Central,2,2,RED,OTHER GRAPE VARIETY,False,165.0, PIQUERAS CASTILLO DE ALMANSA,0.14,,False,[],SR,,ALMANSA RESERVA ,ES,,Spain Red Wine,Red Wine,False,False,0,15.99,00,False,,,almansa reserva - piqueras castillo de almansa,,,200,Wine,[],1005,1051,1266,1455.0,31020.600000000002,0.10500000000000001,152.28571428571428,0.8870967741935484
